DriveID,DriveLabel,Path,Depth,Type,Name,Subdirs,Files,ItemCount,FileTypes,Size,SizeUnit
CE6A70F1,Cell 9,E:\Dronestitute\Commercial Inspections,2,Folder,Commercial Inspections,24,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Commercial Inspections\Maison de Lafayette,3,Folder,Maison de Lafayette,0,477,477,jpg:477,5.46,GB
CE6A70F1,Cell 9,E:\Dronestitute\Commercial Inspections\AvantiLafayette,3,Folder,AvantiLafayette,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Commercial Inspections\Landmark Rayne,3,Folder,Landmark Rayne,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Commercial Inspections\Acadian At Southwind,3,Folder,Acadian At Southwind,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Commercial Inspections\Southwind Healthcare,3,Folder,Southwind Healthcare,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Commercial Inspections\Encore Healthcare and Rehabilatition,3,Folder,Encore Healthcare and Rehabilatition,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Commercial Inspections\Legacy Nursing and Rehab Plaquemine,3,Folder,Legacy Nursing and Rehab Plaquemine,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Commercial Inspections\Landmark Plaquemine,3,Folder,Landmark Plaquemine,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Commercial Inspections\Chateau Dville,3,Folder,Chateau Dville,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Commercial Inspections\Camelot Brookside,3,Folder,Camelot Brookside,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Commercial Inspections\RosewoodAssistedLiving,3,Folder,RosewoodAssistedLiving,0,147,147,jpg:146; mrk:1,1.56,GB
CE6A70F1,Cell 9,E:\Dronestitute\Commercial Inspections\AscensionOaksGonzales,3,Folder,AscensionOaksGonzales,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Commercial Inspections\OldJeffersonCommunityCare,3,Folder,OldJeffersonCommunityCare,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Commercial Inspections\ChateauStJames,3,Folder,ChateauStJames,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Commercial Inspections\Audubon Lake Apartments,3,Folder,Audubon Lake Apartments,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Commercial Inspections\The Blake Lafayette,3,Folder,The Blake Lafayette,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Commercial Inspections\Laveranda Apartments,3,Folder,Laveranda Apartments,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Commercial Inspections\Stonebridge Apartments Abbeville,3,Folder,Stonebridge Apartments Abbeville,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Commercial Inspections\Eastridge Nursing and Rehab,3,Folder,Eastridge Nursing and Rehab,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Commercial Inspections\Vermillion at Eastridge,3,Folder,Vermillion at Eastridge,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Commercial Inspections\BrookdaleLafayette,3,Folder,BrookdaleLafayette,0,347,347,jpg:347,3.82,GB
CE6A70F1,Cell 9,E:\Dronestitute\Commercial Inspections\Caroline & Company,3,Folder,Caroline & Company,0,101,101,jpg:101,498.3,MB
CE6A70F1,Cell 9,E:\Dronestitute\Commercial Inspections\Legacy Bar,3,Folder,Legacy Bar,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Commercial Inspections\Trahan Center Circle Park,3,Folder,Trahan Center Circle Park,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Neighborhood Inspections,2,Folder,Neighborhood Inspections,21,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Neighborhood Inspections\Baker,3,Folder,Baker,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Neighborhood Inspections\Crossfield,3,Folder,Crossfield,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Neighborhood Inspections\Centenal Village,3,Folder,Centenal Village,0,557,557,jpg:557,6.14,GB
CE6A70F1,Cell 9,E:\Dronestitute\Neighborhood Inspections\CCL,3,Folder,CCL,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Neighborhood Inspections\Santa Maria,3,Folder,Santa Maria,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Neighborhood Inspections\UCLUB,3,Folder,UCLUB,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Neighborhood Inspections\Monjardin,3,Folder,Monjardin,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Neighborhood Inspections\Camelot Senior Living,3,Folder,Camelot Senior Living,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Neighborhood Inspections\Beallieu Place,3,Folder,Beallieu Place,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Neighborhood Inspections\Austin Village,3,Folder,Austin Village,0,0,0,,0.0,MB
